Name,Album,Artist,song_url
Fearless Pt. II,NCS: The Best of 2017,Lost Sky,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe
Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz
Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY
Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4VQCWfOxH70EnBpyRa8Z7U
Fearless Pt. II,NCS: The Best of 2017,Lost Sky,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe
Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz
Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY
Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY
Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4VQCWfOxH70EnBpyRa8Z7U
Feel Good,Feel Good,Syn Cole,https://open.spotify.com/track/2yox08l4o0FnOL8Ih4yEfM
Fearless Pt. II,NCS: The Best of 2017,Lost Sky,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7
Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff
Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz
Blank,Blank,Disfigure,https://open.spotify.com/track/2EjSewEKEZShOUBwFXUrK5
Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2zVJlAEB0ublkqJMIn43AE
Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2zVJlAEB0ublkqJMIn43AE
Blank,Blank,Disfigure,https://open.spotify.com/track/2EjSewEKEZShOUBwFXUrK5
On & On,On & On,Cartoon,https://open.spotify.com/track/4B2kkxg3wKSTZw5JPaUtzQ
On & On,On & On,Cartoon,https://open.spotify.com/track/4B2kkxg3wKSTZw5JPaUtzQ
Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/7MTZVwYiEahXQIyCU2FLPV
Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/7MTZVwYiEahXQIyCU2FLPV
Sky High,Sky High,Elektronomia,https://open.spotify.com/track/0q1YL8hfWM3knO1s0gdRKs
Nekozilla,NCS: Infinity,Different Heaven,https://open.spotify.com/track/6ULbkJ16YabZNdJMHsIVmE
Firefly,Firefly,Jim Yosef,https://open.spotify.com/track/5aSYCqTmfXXNsQOtTqEHq1
Hope (Original Mix),Hope,Tobu,https://open.spotify.com/track/4XNt2ViSmF6lQFNVFAbOG5
