Name,Album,Artist,song_url
APT.,APT.,ROSÉ,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY
Die With A Smile,Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
Espresso,Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
That’s So True,The Secret of Us (Deluxe),Gracie Abrams,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad
Taste,Short n' Sweet,Sabrina Carpenter,https://open.spotify.com/track/1d7Ptw3qYcfpdLNL5REhtJ
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
Move,Move,Adam Port,https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4
Iris,Dizzy up the Girl,The Goo Goo Dolls,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
ALL MY LOVE,Moon Music,Coldplay,https://open.spotify.com/track/6iYxkBHyMpsgVxUgfy5fSx
I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
Rush,Rush,Ayra Starr,https://open.spotify.com/track/1rrqJ9QkOBYJlsZgqqwxgB
HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq
golden hour,golden hour,JVKE,https://open.spotify.com/track/6GD1eomgaGT1Epto6Q5eAo
I'm Good (Blue),Silvester Party Hits 2022 / 2023,David Guetta,https://open.spotify.com/track/13NSf2YJVP9RLNBulaVART
Nonsense,Música en todos lados,Sabrina Carpenter,https://open.spotify.com/track/1nStjUzehuAN2qy9MQpBF4
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,https://open.spotify.com/track/0V584xEQYJ1NTIdGH7hDVg
"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Dua Lipa,https://open.spotify.com/track/0QOiD5KHfvRm63iqwpute8
Carry You Home,20s Country Songs,Alex Warren,https://open.spotify.com/track/64w75rrzxCw16mqFvEo8th
Bad Dreams,I've Tried Everything But Therapy (Part 2),Teddy Swims,https://open.spotify.com/track/3BntzKsnLf2pc0dsvE3Zav
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE
"yes, and?","yes, and?",Ariana Grande,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG
Juno,Short n' Sweet,Sabrina Carpenter,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS
Made You Look,Hot Summer Party Mix,Meghan Trainor,https://open.spotify.com/track/5jxLkBlwfgVNgUsoxIr0F0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,https://open.spotify.com/track/0HaRLPnr887lcQM2YQzkff
back to friends,back to friends,sombr,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6
the boy is mine,eternal sunshine,Ariana Grande,https://open.spotify.com/track/0Lmbke3KNVFXtoH2mMSHCw
Don't You Worry,Elevation,Black Eyed Peas,https://open.spotify.com/track/7yZ1lBorF0Iye0PVth8aM2
Dancing In The Flames,Dancing In The Flames,The Weeknd,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9
"24/7, 365",bright orange everglow,elijah woods,https://open.spotify.com/track/7DFwy0ki0TfOfdDCr66ahT
The Drum,The Drum,Alan Walker,https://open.spotify.com/track/1zOOl8f7qkjj0AmvlCfLyQ
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé,https://open.spotify.com/track/0Z7nGFVCLfixWctgePsRk9
When I Get Old,When I Get Old,Christopher,https://open.spotify.com/track/5f2CcxzZoW7hNs1O8NhG6y
From the Islands (kompa pasión),From the Islands (kompa pasión),фрози,https://open.spotify.com/track/6a6nqomE4fMYo0ESHhKZRv
On My Love,On My Love,Zara Larsson,https://open.spotify.com/track/0dxp7DyPJEo6JhtnjUtBnN
First Class,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
feelslikeimfallinginlove - Single Version,feelslikeimfallinginlove,Coldplay,https://open.spotify.com/track/1YsU8rW2u8z4F0pwOBQ4Ea
Solo,Hity na lato 2023,BLANKA,https://open.spotify.com/track/14q1VFCescxIyCAEPFc5nZ
KU LO SA (with Camila Cabello),KU LO SA (with Camila Cabello),Oxlade,https://open.spotify.com/track/0HihDC6qQ8MChAhjfW3gMU
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE
Ring Ring,Ring Ring,MIRA,https://open.spotify.com/track/4cSp2hlUlAwgurjIqHN592
